"MatName","SPC1.0"
"thickness","1."
"SheetSize","2000. X 1000."
"SheetCode","NEST-TEST-2X1M"
"SheetName","S307+1MM+20170329"
"PartCount","66"
"CPartName","W66X1-C-202"
"UnfoldDimensionSizeX","100.0"
"UnfoldDimensionSizeY","100.0"
"AreaWithoutHoles","123.0"
"AreaWithHoles","8100.0"
"name","S307+1MM+20170329"
"detailCode","W66X1-C-202"
"db_SheetCount","1"
"db_Image","C:\Program Files (x86)\Amada\AI-CAM\AIC_Main\Schedule_Reports\1.bmp"
"db_MaterialName","SPC1.0"
"db_LaserMaterialName","C-SPC1.0S"
"db_SheetSize","2000. X 1000."
"db_Thickness","1"
"db_UsedRatio","0.2706"
"db_CutPathTime","00:03:52"
"db_MoveTime","00:00:35"
"db_SHCutTime","00:00:50"
"db_PierceTime","00:03:52"
"db_NumberPierces","132"
"db_ProcessLength","21827."
"db_SHLength","2707."
